SampleID,Station,Location,Lat,Lon,Depth,Depth_cat,Temp,Salinity,TA_umolkg,pCO2_T,TCO2_umolkg,pH_T,Omega_Ar,Omega_Ca,NO2NO3,PO4,SiO2
FC12-0,FC12,Science World south,49.2726,-123.103583,0,surface,19.3,20.2,1475.852,600.2163882,1425.415151,7.769909044,0.784615268,1.280233776,0.813910572,0.54378337,22.9325727
FC11-0,FC11,Science World north,49.2744,-123.105416,0,surface,19.2,20.2,1475.852,487.0135543,1408.002454,7.853242626,0.93107106,1.519609932,0.21931713,0.418663059,21.99042384
FC10-0,FC10,Habitat Island,49.273483,-123.11055,0,surface,19.2,19.9,1457.744,552.7331002,1402.88589,7.799204344,0.815417441,1.33322688,0.803074015,0.515667634,24.29786278
FC09-0,FC09,Cambie Bridge,49.272116,-123.1147,0,surface,19.1,20.1,1469.816,580.1406665,1417.884138,7.782137667,0.793816829,1.296666538,0.907476384,0.593532423,25.25035863
FC08-0,FC08,David Lam Park,49.2705,-123.12346,0,surface,19.3,20.1,1469.816,472.663075,1399.781544,7.864013654,0.94971913,1.550601004,0.292307386,0.447574581,23.70039153
FC07-0,FC07,Spruce Harbour,49.27025,-123.12925,0,surface,18.7,20.2,1475.852,434.3759977,1399.58483,7.897745458,1.001262905,1.636071009,0.081717778,0.378519627,23.04106578
FC06-0,FC06,Granville Island,49.27323,-123.13356,0,surface,18.6,20.3,1481.888,502.568502,1418.052073,7.841155416,0.892540841,1.457895296,0.752586692,0.551474158,23.97107119
FC05-0,FC05,Burrard bridge / fuel dock,49.27626,-123.1373,0,surface,18.5,19.8,1451.708,257.7007998,1328.972409,8.094186908,1.437329244,2.355284823,0.128774839,0.348434864,25.35404845
FC04-0,FC04,Vanier Park,49.279283,-123.141783,0,surface,18.3,19.7,1445.672,253.7826864,1323.332823,8.098752517,1.430216828,2.346108131,0.184484083,0.368399933,25.37445037
FC03-0,FC03,Barge Chillin' Beach,49.283216,-123.14965,0,surface,18.6,19.3,1421.528,190.5764332,1271.167992,8.20101116,1.713867365,2.816293976,0.077792392,0.207375248,22.8449194
FC02-0,FC02,Kits Beach,49.281516,-123.15095,0,surface,18.5,19.3,1421.528,217.7510567,1286.592268,8.151785146,1.555477717,2.556606347,0.114305619,0.270369037,24.41881128
FC01-0,FC01,English Bay,49.281783,-123.1601,0,surface,18.6,18.9,1397.384,204.895561,1260.387991,8.170051778,1.574562004,2.593746814,0.013450903,0.236411861,23.86550733
FC12-3,FC12,Science World south,49.2726,-123.103583,3,bottom,,,,,,,,,,,
FC11-5,FC11,Science World north,49.2744,-123.105416,5,bottom,15.1,26.2,1838.012,848.8488341,1795.474413,7.69228798,0.798479265,1.275337211,11.06196014,1.973616091,42.8627649
FC10-4,FC10,Habitat Island,49.273483,-123.11055,4,bottom,16.1,24.7,1747.472,857.3648296,1711.026392,7.673438996,0.735770933,1.180600415,7.879403572,1.80033194,41.31576834
FC09-6,FC09,Cambie Bridge,49.272116,-123.1147,6,bottom,16,25,1765.58,876.5499125,1729.851564,7.667534346,0.735491941,1.178729816,8.461904427,1.830163643,42.1639436
FC08-6,FC08,David Lam Park,49.2705,-123.12346,6,bottom,,,,,,,,,,,
FC07-5,FC07,Spruce Harbour,49.27025,-123.12925,5,bottom,14.8,25.8,1813.868,641.1180029,1746.834957,7.800741349,0.9731486,1.557999331,11.84707693,1.353907887,37.85354927
FC06-7,FC06,Granville Island,49.27323,-123.13356,7,bottom,14.5,26.2,1838.012,668.9363759,1773.755374,7.787421909,0.955014431,1.527239697,12.7921,1.424578066,38.74367331
FC05-6,FC05,Burrard bridge / fuel dock,49.27626,-123.1373,6,bottom,15.2,25.4,1789.724,623.5390795,1721.10313,7.808139002,0.982559578,1.57452126,10.59304703,1.250438702,37.16752081
FC04-7,FC04,Vanier Park,49.279283,-123.141783,7,bottom,15.2,25.2,1777.652,680.1704117,1719.191555,7.771085713,0.898825472,1.441630218,10.19066717,1.851245419,37.51486504
FC03-9,FC03,Barge Chillin' Beach,49.283216,-123.14965,9,bottom,13.6,27,1886.3,698.9357593,1824.778507,7.776718329,0.939832384,1.500697003,14.99849505,1.536052225,40.15014389
FC02-6,FC02,Kits Beach,49.281516,-123.15095,6,bottom,14.8,25.9,1819.904,628.0322618,1750.010328,7.810006249,0.997473981,1.596226997,12.1730691,1.295795594,37.71278069
FC01-10,FC01,English Bay,49.281783,-123.1601,10,bottom,13.3,27.5,1916.48,774.107243,1863.597701,7.740154057,0.881648918,1.40583608,17.1560162,1.708749666,41.81880662
