Specimen ID or Observation ID,Category,Group,Museum accession,Location of voucher specimen,Database,Link to dataset,Link to specimen,Observation type,Genetic sample?,Genetic status,Observation Date,Morphological Identification,Common name,Genetic Idenification,Genetic Notes,Phylum,Class,Order,Family,Genus,Species,Identifier Name or User ID,Notes,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Depth (m),Habitat,Sampling Protocol,Site Code,Collection Event ID
BHAK-12268-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Acila castrensis,,Acila castrensis,,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,Acila castrensis,Philip Hoover,,Canada,British Columbia,Burrard Inlet,False Creek,Vanier Park,49.279,-123.142,5,inlet,sediment grab sample,FCRK04,FCBB41
BHAK-12340-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Acila castrensis,,Acila castrensis,,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,Acila castrensis,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12341-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Acila castrensis,,Acila castrensis,,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,Acila castrensis,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12342-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Acila castrensis,,Acila castrensis,,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,Acila castrensis,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12343-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Acila castrensis,,Acila castrensis,,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,Acila castrensis,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12344-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Acila castrensis,,Acila castrensis,,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,Acila castrensis,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12018-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Alitta williami,,Alitta sp.,No species level ID,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta williami,Matt Whalen,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island Dock,49.273,-123.135,1,"inlet, dock",settlement plates,FCRK23,FCBB29
BHAK-12284-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Alitta williami,,Alitta sp.,No species level genetic match,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta williami,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,False Creek Mouth,49.283,-123.15,5,inlet,sediment grab sample,FCRK03,FCBB42
BHAK-12330-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Alitta williami,,Alitta sp.,No species level ID,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta williami,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,David Lam Park,49.27,-123.125,1,"inlet, dock",settlement plates,FCRK25,FCBB44
BHAK-12481-FCBB,Marine Invertebrate,Mollusca,N/A,N/A,Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44810,Alvania,,,,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,Philip Hoover,Alvania sp. (Alvania rosana or Alvania compacta),Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
