Specimen ID or Observation ID,Category,Group,Museum accession,Location of voucher specimen,Database,Link to dataset,Link to specimen,Observation type,Genetic sample?,Genetic status,Observation Date,Morphological Identification,Common name,Genetic Idenification,Genetic Notes,Phylum,Class,Order,Family,Genus,Species,Identifier Name or User ID,Notes,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Depth (m),Habitat,Sampling Protocol,Site Code,Collection Event ID
BHAK-12482-FCBB,Marine Invertebrate,Mollusca,N/A,N/A,Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44810,Alvania,,,,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,Philip Hoover,Alvania sp. (Alvania rosana or Alvania compacta),Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12483-FCBB,Marine Invertebrate,Mollusca,N/A,N/A,Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Alvania,,Alvania sp.,,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,Philip Hoover,Alvania sp. (Alvania rosana or Alvania compacta),Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12091-FCBB,Marine Invertebrate,Bryozoa,N/A,N/A,Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44809,Amathia,,,,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,,Matt Whalen,Associated Specimens: growing on BHAK-12042,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island Dock,49.273,-123.135,1,"inlet, dock",settlement plates,FCRK23,FCBB29
BHAK-12031-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44809,Americorophium spinicorne,,,,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Philip Hoover,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island Dock,49.273,-123.135,1,"inlet, dock",settlement plates,FCRK23,FCBB29
BHAK-12312-FCBB,Marine Invertebrate,Malacostraca,N/A,N/A,Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44811,Americorophium spinicorne,,,No match to public sequence databases,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Philip Hoover,,Canada,British Columbia,Burrard Inlet,False Creek,Spruce Harbour Marina,49.269,-123.128,1,"inlet, dock",settlement plates,FCRK28,FCBB48
BHAK-12218-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Ampharete,,Ampharete sp.,No species level genetic match,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,,Biologica Environmental Services Taxonomist,damaged,Canada,British Columbia,Burrard Inlet,False Creek,Vanier Park,49.279,-123.142,5,inlet,sediment grab sample,FCRK04,FCBB41
BHAK-12271-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,,No match to pubic records,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,Vanier Park,49.279,-123.142,5,inlet,sediment grab sample,FCRK04,FCBB41
BHAK-12272-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,,No match to pubic records,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,Vanier Park,49.279,-123.142,5,inlet,sediment grab sample,FCRK04,FCBB41
BHAK-12497-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,,No match to pubic records,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,False Creek Mouth,49.283,-123.15,5,inlet,sediment grab sample,FCRK03,FCBB42
BHAK-12498-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,Amphiodia urtica,,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,False Creek Mouth,49.283,-123.15,5,inlet,sediment grab sample,FCRK03,FCBB42
BHAK-12499-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,,No match to pubic records,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island,49.273,-123.134,5,inlet,sediment grab sample,FCRK06,FCBB39
BHAK-12500-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,,No match to pubic records,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island,49.273,-123.134,5,inlet,sediment grab sample,FCRK06,FCBB39
BHAK-12501-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,,No match to pubic records,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island,49.273,-123.134,5,inlet,sediment grab sample,FCRK06,FCBB39
BHAK-12508-FCBB,Marine Invertebrate,Echinodermata,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Amphiodia,,Amphiodia urtica,,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,,English Bay,49.282,-123.16,5,inlet,sediment grab sample,FCRK01,FCBB43
BHAK-12040-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44809,Ampithoe,,,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,Philip Hoover,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island Dock,49.273,-123.135,1,"inlet, dock",settlement plates,FCRK23,FCBB29
BHAK-12041-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44809,Ampithoe,,,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,Philip Hoover,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island Dock,49.273,-123.135,1,"inlet, dock",settlement plates,FCRK23,FCBB29
BHAK-12191-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Ampithoe,,Ampithoe valida,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,Matt Whalen,,Canada,British Columbia,Burrard Inlet,,Kitsilano Beach North Boulders,49.278,-123.152,,intertidal boulders,hand collected,FCRK24,FCBB38
BHAK-12236-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44810,Ampithoe,,,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,Philip Hoover,,Canada,British Columbia,Burrard Inlet,,Kitsilano Beach North Boulders,49.278,-123.152,,intertidal boulders,hand collected,FCRK24,FCBB38
BHAK-12038-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44809,Ampithoe valida,,,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,Philip Hoover,,Canada,British Columbia,Burrard Inlet,False Creek,Granville Island Dock,49.273,-123.135,1,"inlet, dock",settlement plates,FCRK23,FCBB29
BHAK-12237-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44810,Ampithoe valida,,,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,Philip Hoover,,Canada,British Columbia,Burrard Inlet,,Kitsilano Beach North Boulders,49.278,-123.152,,intertidal boulders,hand collected,FCRK24,FCBB38
BHAK-12238-FCBB,Marine Invertebrate,Malacostraca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44810,Ampithoe valida,,,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,Philip Hoover,,Canada,British Columbia,Burrard Inlet,,Kitsilano Beach North Boulders,49.278,-123.152,,intertidal boulders,hand collected,FCRK24,FCBB38
BHAK-12488-FCBB,Marine Invertebrate,Malacostraca,N/A,N/A,Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Ampithoe valida,,Ampithoe valida,,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,David Lam Park,49.27,-123.125,1,"inlet, dock",settlement plates,FCRK25,FCBB44
BHAK-12067-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,,No match to public sequence databases,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12068-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,,No match to public reference sequences,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"only with capillary chaetes, either A. sp N6 (Ruff) similar to A. tigrina of California, or A. monilaris",Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12069-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,,No match to public sequence databases,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"either A. sp N6 (Ruff) similar to A. tigrina of California, or A. monilaris",Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12070-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44809,Aphelochaeta,,,,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,no serrated chaete,Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12071-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,Aphelochaeta glandaria,,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"either A. sp N6 (Ruff) similar to A. tigrina of California, or A. monilaris",Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12072-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,Aphelochaeta glandaria,,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,probably A. glandaria complex,Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12073-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Failed,44809,Aphelochaeta,,,,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"Aphelochaeta sp., some A. glandaria complex, yellow",Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12080-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,Aphelochaeta glandaria,,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"Aphelochaeta sp., probably A. glandaria complex, yellow",Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12081-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,Aphelochaeta glandaria,,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"Aphelochaeta sp., probably A. glandaria complex, yellow",Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12100-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,,No match to public reference sequences,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"could not confirm, but possibly A. sp N6 (Ruff) similar to A. tigrina of California",Canada,British Columbia,Burrard Inlet,False Creek,Charleston Park- combined sewer outflow,49.27,-123.123,5,inlet,sediment grab sample,FCRK08,FCBB37
BHAK-12138-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,,No match to public sequence databases,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"could not confirm, but possibly A. sp N6 (Ruff) similar to A. tigrina of California",Canada,British Columbia,Burrard Inlet,False Creek,Charleston Park- combined sewer outflow,49.27,-123.123,5,inlet,sediment grab sample,FCRK08,FCBB37
BHAK-12139-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,,No match to public sequence databases,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"very elongate peristomium, A. sp 2",Canada,British Columbia,Burrard Inlet,False Creek,Charleston Park- combined sewer outflow,49.27,-123.123,5,inlet,sediment grab sample,FCRK08,FCBB37
BHAK-12140-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta,,,No match to public sequence databases,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,Biologica Environmental Services Taxonomist,"Aphelochaeta sp. N6 (Ruff), similar to A. tigrina of California,",Canada,British Columbia,Burrard Inlet,False Creek,Charleston Park- combined sewer outflow,49.27,-123.123,5,inlet,sediment grab sample,FCRK08,FCBB37
BHAK-12079-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Aphelochaeta glandaria,,Aphelochaeta glandaria,,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta glandaria,Biologica Environmental Services Taxonomist,"Aphelochaeta glandaria complex, yellow",Canada,British Columbia,Burrard Inlet,False Creek,Cambie Street Bridge,49.272,-123.115,5,inlet,sediment grab sample,FCRK09,FCBB36
BHAK-12028-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Axinopsida serricata,,Axinopsida serricata,,Mollusca,Bivalvia,Lucinida,Thyasiridae,Axinopsida,Axinopsida serricata,Matt Whalen,,Canada,British Columbia,Burrard Inlet,False Creek,Charleston Park- combined sewer outflow,49.27,-123.123,5,inlet,sediment grab sample,FCRK08,FCBB37
BHAK-12060-FCBB,Marine Invertebrate,Mollusca,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44809,Axinopsida serricata,,Axinopsida serricata,,Mollusca,Bivalvia,Lucinida,Thyasiridae,Axinopsida,Axinopsida serricata,Biologica Environmental Services Taxonomist,,Canada,British Columbia,Burrard Inlet,False Creek,False Creek Rear Channel,49.274,-123.105,5,inlet,sediment grab sample,FCRK11,FCBB35
BHAK-12199-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Barantolla,,Barantolla americana,,Annelida,Polychaeta,,Capitellidae,Barantolla,,Biologica Environmental Services Taxonomist,Barantolla sp. nr. americana,Canada,British Columbia,Burrard Inlet,False Creek,Vanier Park,49.279,-123.142,5,inlet,sediment grab sample,FCRK04,FCBB41
BHAK-12224-FCBB,Marine Invertebrate,Annelida,pending,"University of British Columbia, Beaty Biodiversity Museum",Barcode of Life Database,http://www.boldsystems.org/index.php/Public_SearchTerms?query=DS-FCBB,,Specimen collection,yes,Sequenced,44810,Barantolla,,Barantolla americana,,Annelida,Polychaeta,,Capitellidae,Barantolla,,Biologica Environmental Services Taxonomist,Barantolla sp. nr. americana,Canada,British Columbia,Burrard Inlet,False Creek,Vanier Park,49.279,-123.142,5,inlet,sediment grab sample,FCRK04,FCBB41
